南朝鲜	🇰🇷
南极洲	🇦🇶
南瓜头	🎃
南瓜灯	🎃
南苏丹	🇸🇸
南苏丹共和国	🇸🇸
南非	🇿🇦
南非共和国	🇿🇦
南韩	🇰🇷
博物馆	🏛
博茨瓦纳	🇧🇼
占卜	🔮
卡塔尔	🇶🇦
卡塔尔国	🇶🇦
卡片存档盒	🗃
卡片盒	🗃
卡片相机	📷
卡片索引	📇
卡牌索引	📇
卡车	🚛
卢旺达	🇷🇼
卢旺达共和国	🇷🇼
卢森堡	🇱🇺
卢森堡大公国	🇱🇺
卢比	₨
卫兵	💂‍♂️ 💂‍♀️
卫士	💂‍♂️ 💂‍♀️
卫星	🛰
卫星天线	📡
卫生纸	🧻
卫生间	🚻 🚾
印刷机	🖨
印度	🇮🇳
印度共和国	🇮🇳
印度卢比	₹
印度寺庙	🛕
印度尼西亚	🇮🇩
印度庙	🛕
危地马拉	🇬🇹
危楼	🏚
危险	⚠️
卷发	👨‍🦱 👩‍🦱 🦱
卷发女	👩‍🦱
卷发女人	👩‍🦱
卷发女子	👩‍🦱
卷曲环	➰
卷毛狗	🐩
卷烟	🚬
卷纸	🧻
卷起的报纸	🗞
卷轴	📜
卷边的纸	📃
卷饼	🌮 🌯
厄瓜多尔	🇪🇨
厄立特里亚	🇪🇷
厄立特里亚国	🇪🇷
厉害	👍
厕所	🚻 🚾
原子	⚛️
原子符号	⚛️
原木	🪵
厨刀	🔪
厨师	👨‍🍳 👩‍🍳
叉	❌ ❎
叉叉	❌ ❎
叉梳	🪮
双人	👥
双人像	👥
双剑	⚔️
双剑交叉	⚔️
双卷曲环	➿
双叹号	‼️
双子座	♊
双峰驼	🐫
双峰骆驼	🐫
双惊叹号	‼️
双感叹号	‼️
双手	🤲
双手合十	🙏
双手张开	👐
双手手掌向上	🤲
双耳瓶	🏺
双肩包	🎒
双鱼座	♓
反对	🙅‍♂️ 🙅‍♀️
反派	🦹‍♂️ 🦹‍♀️
反胃	🤢
发件	📤
发件箱	📤
发传真	📠
发信	📤
发冷	🥶
发火	😡
发烧	🤒
发热	🥵
发票	🧾
发红包	🧧
发芽	🌱
发财	🤑
发邮件	📤
发飙	😡
取款机	🏧
受伤	🤕 ❤️‍🩹
受伤的心	❤️‍🩹
受伤的心灵	❤️‍🩹
变形	🫪
变形虫	🦠
变性	⚧
叙利亚	🇸🇾
叙利亚共和国	🇸🇾
口	👄
口水	🤤
口红	💄
口罩	😷
古典建筑	🏛
古巴	🇨🇺
古巴共和国	🇨🇺
古建筑	🏛
古老的钥匙	🗝
可	🉑
可以	🙆‍♂️ 🙆‍♀️ 🉑
可怕	😨 😱
可怜	🥺
可怜兮兮	🥺
可能	🤔
台式电脑	🖥
台球	🎱
台钟	🕰
台风	🌀
右	➡️
右上	↗️
右上箭头	↗️
右下	↘️
右下箭头	↘️
右向拳	🤜
右手	🫱 🫸
右拳	🤛
右推	🫸
右箭头	➡️
右边	👉
右钩拳	🤛
右面	👉
叶子	🍃
叹号	❗ ❕
叹号问号	⁉️
叹气	😮‍💨
叹问号	⁉️
吃惊	😮 😯 😲 😦 😧
吃比萨	🍕
吃比萨饼	🍕
吃瓜	🍉
吃糖	🍬
吃肉	🍖
吃面	🍜
合	🈴
合上的锁	🔒
合作	🤝
合作愉快	🤝
合十	🙏
合掌	🙏
合格	🈴
吉他	🎸
吉尔吉斯斯坦	🇰🇬
吉布提	🇩🇯
吉布提共和国	🇩🇯
吊牌	🏷
同性恋	👨‍❤️‍👨 👩‍❤️‍👩
同性旗	🏳️‍🌈
同意	🙆‍♂️ 🙆‍♀️
吐	🤮
吐了	🤮
吐出来	🤮
吐啦	🤮
吐舌	😛 😜 😝
吐舌头	😛 😜 😝
向上	👆
向上指	👆
向上箭头	⬆️
向下	👇
向下指	👇
向下箭头	⬇️
向右	👉
向右伸的手	🫱
向右指	👉
向右推	🫸
向右推手	🫸
向右推的手	🫸
向右的手	🫱
向右箭头	➡️
向右走	🚶‍♂️‍➡️ 🚶‍♀️‍➡️
向右跑	🏃‍♂️‍➡️ 🏃‍♀️‍➡️
向左	👈
向左伸的手	🫲
向左指	👈
向左推	🫷
向左推手	🫷
向左推的手	🫷
向左的手	🫲
向左箭头	⬅️
向左走	🚶‍♂️ 🚶‍♀️
向左跑	🏃‍♂️ 🏃‍♀️
向日葵	🌻
向阳花	🌻
吓人	😱
吓死	😱
吓死了	😱
君主	🫅
含泪	🥹
含泪的笑脸	🥲
含泪笑脸	🥲
听	👂
听力障碍	🦻
听诊器	🩺
吸把	🪠
吸气	🫁
吸烟	🚬
吸管杯	🥤
吸血鬼	🧛‍♂️ 🧛‍♀️
吸铁石	🧲
吹口气	🌬
吹拂	🌬
吹气	🌬
吹风	🌬
吻	💋
吻痕	💋
呃	🤔
呕吐	🤮
呵呵	🙂 🙃
呵欠	🥱
呼吸	👃
呼吸作用	🫁
呼机	📟
呼气	😮‍💨 🫁
命中	🎯
和尚	👨‍🦲
和平	☮️
和平手势	✌️
和平标志	☮️
和平的象征	🕊
和平符号	☮️
和平象征	🕊
和服	👘
咒骂	🤬
咖啡	☕
咖啡杯	☕
咖喱	🍛
咖喱饭	🍛
咧嘴笑	😁
咬住嘴唇	🫦
咬嘴唇	🫦
咬牙	😬
咬牙切齿	😬
哈	😄
哈哈	😄
哈密瓜	🍈
哈欠	🥱
哈萨克斯坦	🇰🇿
哈雷	☄️
哈雷彗星	☄️
响指	🫰
响铃关闭	🔕
哥伦比亚	🇨🇴
哥哥	🧍‍♂️
哥斯达黎加	🇨🇷
哦	😮
哦耶	✌️
哭	😢 😭
哭了	😢 😭
哭泣	😢 😭
哭泣猫	😿
哭泣猫脸	😿
哭泣的猫	😿
哺乳	🤱 👩‍🍼
哺乳室	🚼
哺乳的女人	👩‍🍼
哺乳的男人	👨‍🍼
哼	😤
哼哼	😤
唇	💋 👄
唇印	💋
唇膏	💄
唉	😮‍💨
商场	🏬
商店	🏪
商标	™
商标符号	™
商超	🏬
啊	😲 😦 😧
啤酒	🍺
啤酒肚	🫃
啪啪啪	👏
啵一个	😘
啵儿一个	😘
喀麦隆	🇨🇲
喀麦隆共和国	🇨🇲
喂奶	🤱
喇叭	📢 📣
喇叭筒	📣
喜极而泣	😹
喜欢	😍 ❤️
喜笑颜开	🥰
喝咖啡	☕
喝多	🥴
喝多了	🥴
喝奶	🍼
喝茶	🍵
喝醉	🥴
喝醉了	🥴
喵	🐱
